as_of,captured_at,status,file,rows,sha256
2026-09-03,2026-09-04T10:02:06+07:00,new,2026/pit-2026-09-03.csv,115,11f3d7deac7db737e6fac875974f97e4929762b1c450b6fc7db77091540821d4
2026-09-04,2026-09-04T10:04:56+07:00,new,2026/pit-2026-09-04.csv,115,6d57ae8f603493bfbc1d195650d68fe572503458cf93d28f75923edff8ea9975
2026-09-04,2026-09-04T10:45:01+07:00,revision,revisions/pit-2026-09-04--seen-2026-09-04.csv,115,f826e6e3c18e74bae90078ffa8724fc6d9af7127df512c526104dd81e2cc35a5
2026-09-04,2026-09-06T09:22:20+07:00,revision,revisions/pit-2026-09-04--seen-2026-09-06.csv,115,81c5dfba2c321c0887ff0e4eb6091a6cf94ed8a724596b9676118d994edecd1f
2026-09-07,2026-09-07T22:02:25+07:00,new,2026/pit-2026-09-07.csv,115,80b552d0b6a45072392c5608701042ed8e2705992ff6eb536a05e3ee32fb4113
2026-09-08,2026-09-08T15:32:33+07:00,new,2026/pit-2026-09-08.csv,115,14b34d8c460291fde3c91c6f9724c00f238a15c731799b3f381f5f10660702bd
2026-09-09,2026-09-09T20:40:31+07:00,new,2026/pit-2026-09-09.csv,115,81d536c6430ecc69b51b759b0f18682b85ce22815df922736e91c1c86bc25cf5
2026-09-10,2026-09-10T20:32:25+07:00,new,2026/pit-2026-09-10.csv,114,eb34983c4619fcfcb7ca6bb703028653866c2b1a4fc67a95aa56ddfe56f9a65c
2026-09-11,2026-09-11T20:30:33+07:00,new,2026/pit-2026-09-11.csv,114,ef31111ced6bfdc64944e3ef5b0bde208627dd2f31959b285ccbc84366b329b8
