symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.05,123023.0,7.25,1.2,16.52,-3.43,10.55,-3.61,False,True,54.1,0.66,24.19,168420562250.0,-7.16,17.93,64.7,72.6,82.5,82.5,78.1
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,15.65,6683.0,4.17,1.18,28.3,-23.28,-35.06,-41.85,False,False,30.36,0.87,37.94,8574609000.0,-51.53,0.0,75.2,93.8,8.6,22.8,47.3
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.2,2354.0,57.78,0.39,0.67,-10.5,-9.25,-30.16,False,False,8.14,0.64,26.27,1260792250.0,-38.69,0.0,51.6,2.7,55.3,6.1,29.8
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.05,10939.0,110.52,2.28,2.06,9.73,10.52,12.79,True,True,51.11,0.38,17.92,68920072250.0,-1.99,22.68,12.2,7.1,91.4,57.9,46.0
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,38.85,58374.0,11.49,1.77,15.36,-26.14,-29.75,-40.92,False,False,39.92,0.89,37.84,43339940500.0,-50.6,11.0,40.9,65.5,10.4,50.0,36.3
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,35.6,293023.0,8.34,1.4,16.79,-6.27,-5.58,-4.29,False,False,48.72,0.9,32.98,117805972290.0,-30.04,9.61,54.7,75.2,68.4,71.1,63.7
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,140.3,12287.0,9.35,3.99,42.7,3.93,3.36,1.04,False,False,35.43,0.45,35.78,10024286500.0,-21.44,22.38,36.1,99.1,83.7,25.4,60.6
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,26.8,8858.0,16.54,1.19,7.19,-11.47,-18.11,-39.47,False,False,42.34,0.95,34.29,9378285000.0,-41.62,2.1,43.1,23.9,39.1,24.6,30.9
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,27.55,130941.0,26.49,2.28,8.61,-0.85,-26.29,76.81,True,True,58.59,0.8,54.02,264954337250.0,-26.39,106.38,18.9,34.5,42.8,89.5,45.5
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,64.0,53967.0,26.78,,,-2.44,-11.48,14.63,True,False,36.79,0.81,42.37,28865496500.0,-25.58,38.48,32.1,50.0,64.2,41.2,44.7
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,41.65,9666.0,9.24,1.53,16.59,-2.15,-0.32,-6.82,False,False,30.36,0.25,20.15,1577696500.0,-12.76,4.28,51.2,73.5,76.1,8.8,53.4
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,11.9,9816.0,38.39,1.09,2.83,-21.19,-17.41,-47.38,False,False,52.27,1.42,55.48,82309370960.0,-60.91,10.19,35.4,8.8,29.8,62.3,29.2
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,13.25,12835.0,63.1,0.85,1.34,-23.63,-18.21,-37.33,False,False,34.21,1.14,50.5,140106069250.0,-56.34,4.74,40.3,4.4,26.7,73.7,30.6
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,23.35,6742.0,15.26,1.61,10.54,-14.15,-21.25,-35.3,False,False,46.91,0.59,27.3,3139714250.0,-39.85,1.08,35.3,43.4,33.0,14.9,29.9
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,58.0,9214.0,9.4,0.66,7.07,-18.08,-22.12,-13.73,False,False,27.91,0.92,39.1,15268714500.0,-37.49,5.26,74.4,22.1,27.0,32.5,37.1
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,29.95,272231.0,6.73,1.3,19.37,-8.94,-11.34,-10.42,False,False,37.65,0.93,27.69,211997395000.0,-26.72,4.17,62.3,82.3,56.7,86.8,66.8
