symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.3,123023.0,7.34,1.21,16.52,-1.03,9.9,-6.05,False,True,44.0,0.67,24.25,188148192500.0,-6.9,19.27,69.2,71.9,83.7,82.6,79.6
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,17.05,6683.0,4.55,1.29,28.3,-18.81,-33.27,-37.1,False,False,31.48,0.87,38.22,8703348580.0,-47.19,5.57,72.3,93.9,9.9,21.7,46.7
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.65,2354.0,62.78,0.42,0.67,-3.75,-6.15,-25.13,False,False,20.0,0.63,26.08,1185463950.0,-33.39,6.6,50.9,2.6,67.7,6.1,33.3
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.45,10939.0,111.9,2.31,2.06,12.71,4.97,12.87,True,True,72.73,0.37,17.91,69664345910.0,-0.76,24.22,12.3,7.0,91.7,58.3,46.1
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,42.4,58374.0,12.54,1.93,15.36,-21.63,-28.14,-36.57,False,False,44.94,0.87,37.53,46141621982.0,-46.08,21.14,40.6,64.9,12.3,51.3,36.9
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.45,293023.0,8.54,1.43,16.79,-6.2,-11.27,-6.27,False,False,45.98,0.9,33.1,130072692860.0,-28.37,12.23,56.0,74.6,57.0,72.2,60.7
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,143.3,12287.0,9.55,4.08,42.7,7.26,-0.33,9.97,False,False,30.6,0.45,36.2,10400071150.0,-19.76,25.0,36.7,99.1,84.3,26.1,61.1
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,29.25,8858.0,18.06,1.3,7.19,-5.92,-17.82,-38.83,False,False,52.94,0.95,34.71,9920823300.0,-41.5,11.43,37.0,23.7,50.1,25.2,32.6
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,26.85,130941.0,25.82,2.22,8.61,-4.72,-23.72,61.52,True,True,52.85,0.81,54.13,254676909480.0,-28.26,101.14,19.8,34.2,40.5,90.4,45.2
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,64.7,53967.0,27.07,,,-7.17,-14.87,8.99,True,False,41.6,0.84,42.6,31080086300.0,-24.77,40.0,32.1,50.0,51.0,43.5,41.1
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,41.7,9666.0,9.25,1.53,16.59,-3.03,-5.82,-7.3,False,False,7.81,0.25,20.1,4594571190.0,-12.65,4.4,52.9,72.8,71.0,18.3,53.9
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,12.9,9816.0,41.61,1.18,2.83,-12.78,-15.5,-44.59,False,False,57.89,1.39,55.53,81553688520.0,-57.62,19.44,34.7,8.8,39.8,63.5,32.2
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,14.4,12835.0,68.57,0.92,1.34,-11.11,-11.11,-36.31,False,False,52.56,1.14,50.77,130951357450.0,-52.55,13.83,39.5,4.4,48.7,73.0,36.9
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,23.9,6742.0,15.62,1.65,10.54,-13.56,-24.96,-35.72,False,False,38.24,0.59,27.49,3064835400.0,-38.43,1.27,36.1,43.0,20.7,14.8,26.3
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,61.6,9214.0,9.98,0.71,7.07,-15.27,-19.75,-10.53,False,False,35.82,0.92,39.02,15665791940.0,-33.61,11.8,74.8,21.9,30.3,32.2,38.1
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,31.6,272231.0,7.1,1.38,19.37,-5.35,-11.36,-9.33,False,False,42.86,0.94,27.66,220183687750.0,-22.68,9.91,62.2,82.5,58.8,86.1,67.3
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng,HOSE,75.3,9917.0,14.37,4.17,29.0,-6.18,-1.33,-0.28,True,False,42.5,0.62,31.41,23310998575.0,-20.52,13.4,25.2,94.7,68.0,40.0,54.4
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Thực phẩm đồ uống,HOSE,16.9,9006.0,4.31,0.81,18.7,-12.44,-23.4,-30.47,False,False,52.94,0.8,29.55,28266940045.0,-34.73,7.64,87.5,80.7,28.0,41.7,56.8
DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Hóa chất/Phân bón,HOSE,31.95,23982.0,8.75,1.58,18.04,-12.67,-29.15,-13.46,True,False,55.0,0.5,39.47,79885872275.0,-32.68,10.55,54.3,79.8,19.3,62.6,48.4
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất/Phân bón,HOSE,47.0,20014.0,5.88,1.19,20.18,2.51,-33.8,-50.8,True,False,61.76,0.68,46.33,25377590500.0,-50.94,30.56,74.5,84.2,37.6,40.9,56.7
DGW,Công ty cổ phần Thế giới số,Bán lẻ,HOSE,40.2,10008.0,16.14,2.56,15.85,0.75,-10.49,-2.19,True,False,46.08,1.01,40.51,59846562975.0,-26.47,21.27,27.4,67.5,68.5,53.0,51.0
