symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.45,123023.0,7.38,1.22,16.52,-1.67,12.55,-5.76,False,True,60.0,0.67,24.21,179405302750.0,-5.76,20.07,67.2,71.9,81.7,82.6,78.5
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,16.3,6683.0,4.35,1.23,28.3,-21.07,-27.07,-38.88,False,False,35.42,0.86,37.91,8558346080.0,-49.51,0.93,75.0,93.9,9.4,20.9,47.1
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.29,2354.0,58.78,0.39,0.67,-8.64,-4.51,-30.48,False,False,12.99,0.62,26.24,1248197050.0,-37.63,0.0,51.8,2.6,53.4,7.0,29.4
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.1,10939.0,110.69,2.28,2.06,11.17,11.49,11.17,True,True,57.78,0.38,17.91,71463167160.0,-1.83,22.88,12.3,7.0,92.0,60.0,46.5
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,41.3,58374.0,12.22,1.88,15.36,-21.63,-23.52,-37.94,False,False,47.08,0.87,37.57,45262011482.0,-47.48,18.0,40.8,64.9,11.1,50.4,36.4
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.4,293023.0,8.52,1.43,16.79,-5.54,-5.88,-8.34,True,False,57.14,0.9,33.08,119043468960.0,-28.47,12.07,55.6,74.6,59.3,71.3,61.1
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,140.2,12287.0,9.34,3.99,42.7,3.7,3.5,1.36,False,False,27.12,0.45,35.76,10209763650.0,-21.49,22.29,36.7,99.1,80.3,26.1,59.9
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,28.3,8858.0,17.47,1.26,7.19,-7.35,-10.93,-43.3,False,False,56.63,0.95,34.44,10003628050.0,-43.3,7.81,38.7,23.7,47.8,24.3,32.3
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,27.35,130941.0,26.3,2.26,8.61,-1.04,-18.17,63.33,True,True,61.34,0.81,54.0,258105196175.0,-26.92,104.88,19.1,34.2,46.3,90.4,46.7
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,63.5,53967.0,26.57,,,-4.08,-10.94,6.97,True,False,26.85,0.84,42.61,28604393300.0,-26.16,37.4,32.1,50.0,52.5,41.7,41.3
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,42.05,9666.0,9.32,1.55,16.59,-2.33,-0.75,-6.32,False,False,23.29,0.25,20.13,1642489940.0,-11.92,5.28,52.5,72.8,69.7,9.6,51.8
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,12.6,9816.0,40.65,1.15,2.83,-17.65,-7.01,-49.02,False,False,56.1,1.4,55.23,82678906985.0,-58.61,16.67,35.3,8.8,41.0,62.6,32.6
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,14.35,12835.0,68.33,0.92,1.34,-18.0,-3.04,-38.4,False,False,43.75,1.12,50.22,135111481950.0,-52.72,13.44,38.8,4.4,44.3,73.0,35.4
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,23.1,6742.0,15.1,1.59,10.54,-15.69,-21.16,-39.28,False,False,36.23,0.59,27.17,3181561900.0,-40.49,0.0,37.4,43.0,19.8,16.5,26.7
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,60.1,9214.0,9.74,0.69,7.07,-16.3,-19.1,-14.38,False,False,39.71,0.92,39.04,14921105440.0,-35.23,9.07,74.6,21.9,21.9,32.2,35.5
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,30.7,272231.0,6.9,1.34,19.37,-6.94,-11.06,-10.88,False,False,40.24,0.93,27.67,209602243500.0,-24.88,6.78,63.1,82.5,47.8,87.0,64.5
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng,HOSE,74.2,9917.0,14.16,4.11,29.0,-4.31,6.27,-5.59,True,False,33.33,0.62,31.47,20132225575.0,-21.68,11.75,25.2,94.7,75.1,34.8,55.6
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Thực phẩm đồ uống,HOSE,16.6,9006.0,4.23,0.79,18.7,-11.7,-18.4,-32.68,False,False,57.35,0.78,29.53,27365776045.0,-35.89,5.73,88.1,80.7,29.2,40.9,57.2
DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Hóa chất/Phân bón,HOSE,32.65,23982.0,8.95,1.61,18.04,-8.03,-29.08,-12.35,True,False,66.67,0.52,39.57,90000448025.0,-31.2,12.98,53.6,79.8,23.8,65.2,50.1
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất/Phân bón,HOSE,46.6,20014.0,5.83,1.18,20.18,3.9,-38.6,-51.02,True,False,70.3,0.67,46.45,31779122000.0,-51.36,29.44,74.3,84.2,35.3,43.5,56.4
DGW,Công ty cổ phần Thế giới số,Bán lẻ,HOSE,41.85,10008.0,16.81,2.66,15.85,6.35,1.34,-2.58,True,False,53.29,0.98,40.65,69225621475.0,-23.45,26.24,25.4,67.5,81.7,58.3,55.3
DHG,Công ty Cổ phần Dược Hậu Giang,Dược phẩm,HOSE,95.7,13035.0,14.68,3.02,20.61,2.57,-0.75,-1.33,True,False,67.74,0.21,11.26,671606835.0,-6.9,6.1,26.1,85.1,73.8,5.2,47.8
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,BĐS dân dụng,HOSE,10.25,11469.0,12.65,0.69,5.48,-15.78,-13.77,-53.33,False,False,48.36,1.07,42.81,68963784470.0,-55.83,12.12,68.4,16.7,28.3,57.4,39.0
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí-CTCP,Hóa chất/Phân bón,HOSE,22.8,19514.0,14.43,1.37,9.46,1.04,-22.2,-9.64,True,False,64.44,0.52,36.27,66046054665.0,-28.38,10.94,41.2,36.8,40.7,53.9,39.3
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Khác,HOSE,11.3,16630.0,49.13,0.73,1.48,-14.07,-2.78,-45.53,False,False,46.3,0.99,42.48,130374197005.0,-46.77,13.34,44.8,6.1,49.0,72.2,38.7
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,HOSE,16.75,42191.0,27.46,1.2,4.37,-19.47,-20.43,-43.79,False,False,38.71,1.17,35.89,76143102205.0,-43.79,1.52,35.4,13.2,17.7,61.7,26.5
