symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.25,123023.0,7.32,1.21,16.52,2.28,10.83,-7.11,False,True,50.79,0.67,24.24,187700924000.0,-7.11,19.0,68.6,71.9,86.6,82.6,80.3
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,16.65,6683.0,4.44,1.26,28.3,-17.98,-32.45,-36.65,False,False,32.08,0.86,37.98,8681514580.0,-48.43,3.1,73.9,93.9,9.4,21.7,46.9
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.47,2354.0,60.78,0.41,0.67,-4.87,-7.29,-26.71,False,False,15.15,0.63,26.16,1221494650.0,-35.51,3.21,51.3,2.6,61.0,6.1,31.4
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.2,10939.0,111.03,2.29,2.06,11.84,4.16,10.88,True,True,66.0,0.38,17.94,73031020160.0,-1.53,23.26,12.3,7.0,89.2,60.0,45.7
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,42.4,58374.0,12.54,1.93,15.36,-20.0,-27.65,-35.62,False,False,39.24,0.86,37.53,46993771982.0,-46.08,21.14,40.6,64.9,12.9,50.4,36.9
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.0,293023.0,8.43,1.42,16.79,-5.1,-10.66,-8.19,False,False,45.16,0.9,33.12,132155151780.0,-29.26,10.84,55.6,74.6,57.7,72.2,60.8
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,142.0,12287.0,9.46,4.04,42.7,7.66,-0.58,8.37,False,False,23.19,0.44,36.18,10795061650.0,-20.49,23.86,36.7,99.1,81.4,26.1,60.2
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,28.65,8858.0,17.69,1.27,7.19,-5.36,-16.63,-42.7,False,False,53.49,0.95,34.75,10298721800.0,-42.7,9.14,37.8,23.7,47.0,25.2,31.9
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,26.3,130941.0,25.29,2.18,8.61,-7.0,-28.21,62.1,True,True,48.51,0.81,54.13,257497567590.0,-29.73,97.02,19.8,34.2,27.5,89.6,41.1
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,64.1,53967.0,26.82,,,-3.75,-16.32,10.91,True,False,44.7,0.84,42.67,31555454300.0,-25.47,38.7,32.1,50.0,51.3,43.5,41.2
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,41.7,9666.0,9.25,1.53,16.59,-3.03,-6.24,-7.1,False,False,14.08,0.25,20.12,4566433190.0,-12.65,4.4,52.5,72.8,67.3,18.3,52.6
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,12.9,9816.0,41.61,1.18,2.83,-11.64,-16.03,-45.04,True,False,62.5,1.4,55.63,82543388970.0,-57.62,19.44,34.2,8.8,37.3,62.6,31.2
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,14.45,12835.0,68.81,0.93,1.34,-12.69,-11.08,-34.39,False,False,56.96,1.12,50.77,135900645200.0,-52.39,14.23,38.6,4.4,44.2,73.9,35.4
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,23.5,6742.0,15.36,1.62,10.54,-13.92,-25.16,-35.86,False,False,38.24,0.59,27.5,3147367400.0,-39.46,0.0,36.8,43.0,21.7,15.7,27.0
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,61.1,9214.0,9.9,0.7,7.07,-13.7,-20.6,-11.6,False,False,40.91,0.92,39.03,15828836440.0,-34.15,10.89,74.8,21.9,28.3,31.3,37.4
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,30.8,272231.0,6.92,1.34,19.37,-5.94,-12.27,-11.11,False,False,35.79,0.93,27.7,222665242500.0,-24.64,7.13,62.9,82.5,51.7,86.1,65.4
