symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.8,123023.0,7.5,1.24,16.52,1.79,11.42,0.62,True,True,63.04,0.66,24.17,159406738750.0,-4.0,21.94,63.4,72.6,85.8,79.8,78.3
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,16.0,6683.0,4.27,1.21,28.3,-26.61,-32.35,-42.11,False,False,26.15,0.9,38.12,7123859750.0,-50.44,4.58,74.5,93.8,7.2,20.2,46.2
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.16,2354.0,57.33,0.39,0.67,-12.54,-10.1,-31.2,False,False,14.42,0.64,26.3,1147780350.0,-39.17,1.38,51.3,2.7,49.5,7.0,28.1
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.05,10939.0,110.52,2.28,2.06,9.11,9.42,12.79,True,True,35.9,0.38,17.85,61875300250.0,-1.99,22.68,13.3,7.1,89.5,55.3,45.2
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,40.45,58374.0,11.97,1.84,15.36,-25.23,-25.23,-38.49,False,False,44.66,0.9,37.91,32008248000.0,-48.56,15.57,40.9,65.5,13.7,44.7,36.3
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.7,293023.0,8.59,1.44,16.79,-7.22,-3.96,-2.06,True,False,50.0,0.9,33.0,116901345500.0,-27.88,13.0,54.7,75.2,66.7,69.3,62.9
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,143.7,12287.0,9.57,4.09,42.7,-2.24,11.13,4.72,False,False,48.39,0.48,36.37,10597517000.0,-19.53,25.35,33.5,99.1,82.3,27.2,59.7
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,27.0,8858.0,16.67,1.2,7.19,-21.74,-14.9,-40.24,False,False,31.07,0.93,33.81,9290214500.0,-40.36,2.86,42.2,23.9,32.8,24.6,28.8
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,30.7,130941.0,29.52,2.54,8.61,17.61,1.3,84.34,True,True,81.25,0.78,53.86,338189256750.0,-17.97,129.98,15.1,34.5,88.1,92.1,58.5
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,69.4,53967.0,29.04,,,3.58,-7.71,22.58,True,True,68.12,0.81,42.9,39025194500.0,-19.3,50.17,30.8,50.0,72.1,49.1,54.1
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,41.9,9666.0,9.29,1.54,16.59,-3.12,0.52,-7.05,False,False,38.71,0.26,20.14,958626250.0,-12.23,4.9,52.1,73.5,74.2,6.1,52.6
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,11.8,9816.0,38.06,1.08,2.83,-24.36,-17.56,-48.69,False,False,29.73,1.41,55.06,78858994650.0,-61.23,9.26,35.2,8.8,27.1,60.5,28.0
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,12.85,12835.0,61.19,0.82,1.34,-27.2,-21.65,-46.23,False,False,20.34,1.11,49.8,133594587000.0,-57.66,1.58,40.3,4.4,18.9,73.7,28.3
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,23.0,6742.0,15.03,1.59,10.54,-16.82,-22.82,-37.61,False,False,36.25,0.59,27.43,2952884250.0,-40.75,2.22,36.9,43.4,26.0,14.9,28.2
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,58.8,9214.0,9.53,0.67,7.07,-19.45,-24.25,-14.37,False,False,27.06,0.92,39.06,14072330000.0,-36.63,6.72,74.6,22.1,21.6,31.6,35.4
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,31.4,272231.0,7.06,1.37,19.37,-6.08,-8.9,-7.76,True,False,48.78,0.94,27.77,219484052250.0,-23.17,9.22,60.8,82.3,60.4,86.8,67.5
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng,HOSE,73.1,9917.0,13.95,4.05,29.0,-1.96,1.01,-4.17,False,False,36.05,0.6,31.18,16967086000.0,-22.84,10.09,24.5,94.7,76.3,36.0,56.0
