symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.2,123023.0,7.3,1.21,16.52,-1.84,11.06,-6.81,False,True,44.0,0.67,24.27,198849420250.0,-7.31,18.74,69.2,71.9,83.0,82.6,79.4
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,17.15,6683.0,4.57,1.29,28.3,-19.1,-34.54,-33.9,False,False,42.62,0.87,38.21,9086598830.0,-46.88,6.19,71.7,93.9,9.0,21.7,46.2
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.65,2354.0,62.78,0.42,0.67,-5.04,-5.83,-24.21,False,False,18.18,0.63,26.08,1234373350.0,-33.39,6.6,50.9,2.6,70.1,7.0,34.2
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.5,10939.0,112.07,2.31,2.06,12.88,4.98,13.54,True,True,78.43,0.38,17.94,75090882410.0,-0.61,24.41,12.3,7.0,92.2,58.3,46.3
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,42.35,58374.0,12.53,1.93,15.36,-22.72,-29.53,-36.55,False,False,53.23,0.87,37.56,47026914982.0,-46.15,21.0,40.6,64.9,10.6,51.3,36.4
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.45,293023.0,8.54,1.43,16.79,-7.63,-13.61,-6.93,False,False,48.01,0.9,33.19,136088846720.0,-28.37,12.23,56.0,74.6,54.4,73.0,60.1
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,143.9,12287.0,9.59,4.09,42.7,6.51,0.48,12.16,False,False,30.83,0.45,36.23,11328857650.0,-19.42,25.52,36.7,99.1,85.0,27.0,61.4
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,29.25,8858.0,18.06,1.3,7.19,-6.33,-15.77,-38.24,False,False,48.39,0.96,34.73,10433534550.0,-41.5,11.43,36.5,23.7,55.1,25.2,34.0
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,26.9,130941.0,25.87,2.23,8.61,-5.87,-28.12,65.79,True,True,56.49,0.81,54.26,260310683280.0,-28.12,101.51,19.4,34.2,34.1,89.6,43.0
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,64.1,53967.0,26.82,,,-8.43,-19.88,9.43,True,False,42.52,0.84,42.61,31576905300.0,-25.47,38.7,32.1,50.0,43.5,43.5,38.9
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,41.6,9666.0,9.22,1.53,16.59,-2.71,-5.21,-8.01,False,False,4.84,0.25,20.14,5969277690.0,-12.86,4.15,53.4,72.8,73.2,18.3,54.7
