symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,21.9,123023.0,7.2,1.19,16.52,-1.35,7.7,-3.72,False,True,44.44,0.67,24.49,162957738000.0,-7.79,17.13,67.6,72.6,81.2,80.7,78.2
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,16.0,6683.0,4.27,1.21,28.3,-25.41,-31.33,-43.4,False,False,26.56,0.9,38.1,7065131250.0,-50.44,4.58,74.1,93.8,8.2,21.1,46.5
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.22,2354.0,58.0,0.39,0.67,-11.07,-7.61,-34.07,False,False,19.81,0.63,26.24,1144911900.0,-38.46,2.55,51.3,2.7,54.2,7.0,29.5
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.05,10939.0,110.52,2.28,2.06,7.55,10.05,12.63,True,True,42.42,0.38,17.83,62302623250.0,-1.99,22.68,12.8,7.1,90.0,54.4,45.1
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,40.25,58374.0,11.91,1.83,15.36,-24.48,-23.77,-40.48,False,False,22.37,0.9,37.9,29816395250.0,-48.82,15.0,40.9,65.5,15.8,43.9,36.8
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,35.75,293023.0,8.37,1.41,16.79,-7.56,-4.95,-7.42,False,False,39.05,0.9,33.1,134803443000.0,-29.75,10.07,54.7,75.2,63.0,74.6,62.7
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,143.5,12287.0,9.56,4.08,42.7,-1.17,18.52,4.09,False,False,48.58,0.48,36.36,10511010500.0,-19.65,25.17,34.1,99.1,85.3,27.2,60.8
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,27.35,8858.0,16.88,1.21,7.19,-21.18,-13.8,-39.59,False,False,33.02,0.93,33.82,9308176250.0,-39.59,4.19,40.8,23.9,33.5,24.6,28.6
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,30.2,130941.0,29.04,2.5,8.61,17.25,4.24,75.53,True,True,74.81,0.79,53.89,335619859750.0,-19.31,126.23,15.5,34.5,88.4,92.1,58.7
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,68.5,53967.0,28.66,,,2.54,-7.93,17.73,True,True,66.87,0.81,42.92,40354987000.0,-20.35,48.22,30.8,50.0,69.6,49.1,53.4
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,42.1,9666.0,9.33,1.55,16.59,-2.55,2.69,-7.96,False,False,45.16,0.25,20.09,969457750.0,-11.81,5.4,51.2,73.5,74.6,6.1,52.4
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,11.5,9816.0,37.1,1.05,2.83,-26.28,-21.74,-51.01,False,False,21.62,1.41,55.09,81196259240.0,-62.22,6.48,36.1,8.8,18.1,60.5,25.5
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,12.9,12835.0,61.43,0.83,1.34,-27.12,-22.99,-45.45,False,False,22.03,1.1,49.67,129839540000.0,-57.5,1.98,40.1,4.4,15.3,72.8,27.0
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,23.1,6742.0,15.1,1.59,10.54,-16.91,-21.96,-37.72,False,False,37.8,0.59,27.37,2929465750.0,-40.49,2.67,36.9,43.4,24.6,14.9,27.8
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,59.0,9214.0,9.56,0.68,7.07,-18.62,-25.18,-19.64,False,False,25.3,0.91,39.04,14064730000.0,-36.41,7.08,74.0,22.1,19.5,30.7,34.4
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,30.25,272231.0,6.8,1.32,19.37,-8.99,-11.35,-13.21,False,False,33.67,0.95,28.0,234154381250.0,-25.98,5.22,63.2,82.3,50.2,86.8,65.1
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng,HOSE,73.0,9917.0,13.93,4.04,29.0,-0.93,1.49,-7.82,False,False,31.71,0.6,31.12,14997195500.0,-22.95,9.94,24.5,94.7,75.6,33.3,55.3
