symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.0,123023.0,7.24,1.2,16.52,-1.57,13.48,-2.36,False,True,41.1,0.66,24.66,166093438000.0,-7.37,17.67,65.6,72.6,78.9,80.7,77.0
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,16.1,6683.0,4.29,1.22,28.3,-23.33,-24.94,-41.03,False,False,31.67,0.89,37.94,7052050000.0,-50.13,5.23,73.2,93.8,10.5,21.1,47.0
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.24,2354.0,58.22,0.39,0.67,-10.12,-1.13,-31.38,False,False,22.12,0.62,25.57,1068829300.0,-38.22,2.95,51.3,2.7,53.5,7.0,29.3
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,31.6,10939.0,108.97,2.25,2.06,5.51,11.7,11.7,True,True,22.22,0.37,17.88,62289516250.0,-3.36,20.96,13.3,7.1,83.9,54.4,43.4
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,40.2,58374.0,11.89,1.83,15.36,-23.86,-20.4,-41.33,False,False,28.57,0.89,37.81,27649406250.0,-48.88,14.86,40.9,65.5,12.5,41.2,35.3
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.2,293023.0,8.48,1.42,16.79,-8.26,1.76,-3.51,True,False,44.14,0.89,32.98,140017556250.0,-28.86,11.46,54.7,75.2,61.6,75.4,62.4
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,144.1,12287.0,9.6,4.1,42.7,-1.57,25.69,5.22,False,False,48.56,0.48,36.36,10068312000.0,-19.31,25.69,33.9,99.1,84.7,27.2,60.6
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,26.85,8858.0,16.57,1.19,7.19,-21.38,-7.27,-38.73,False,False,27.62,0.93,33.82,9470510000.0,-38.73,2.29,42.8,23.9,34.6,24.6,29.5
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,31.35,130941.0,30.14,2.6,8.61,26.31,21.47,88.95,True,True,80.25,0.76,53.91,354387934500.0,-16.23,134.85,14.6,34.5,95.4,92.1,60.6
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,69.7,53967.0,29.16,,,7.4,-7.19,19.39,True,True,65.75,0.79,42.92,45035257000.0,-18.95,50.82,30.8,50.0,65.6,49.1,52.2
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,41.5,9666.0,9.2,1.53,16.59,-4.69,2.07,-8.99,False,False,41.3,0.26,20.32,854218250.0,-13.07,3.9,52.5,73.5,67.0,5.3,50.4
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,11.7,9816.0,37.74,1.07,2.83,-21.48,-14.25,-48.04,False,False,30.3,1.4,55.03,81872744110.0,-61.56,8.33,35.4,8.8,25.8,60.5,27.7
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,12.9,12835.0,61.43,0.83,1.34,-24.78,-17.31,-41.76,False,False,16.67,1.1,49.6,125398601000.0,-57.5,1.98,39.8,4.4,17.2,70.2,27.0
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,23.1,6742.0,15.1,1.59,10.54,-15.23,-17.94,-40.49,False,False,35.87,0.59,27.4,3043193750.0,-40.49,2.67,36.4,43.4,23.0,14.9,27.2
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,58.5,9214.0,9.48,0.67,7.07,-18.07,-21.85,-21.28,False,False,24.71,0.9,38.42,14142402000.0,-36.95,6.17,73.9,22.1,16.7,29.8,33.4
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,30.95,272231.0,6.96,1.35,19.37,-7.57,-3.3,-10.85,False,False,41.07,0.94,27.95,238895197500.0,-24.27,7.65,62.1,82.3,56.1,86.8,66.6
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng,HOSE,71.8,9917.0,13.7,3.97,29.0,-2.56,3.74,-8.45,False,False,19.05,0.59,30.87,14644435500.0,-24.21,8.13,25.0,94.7,72.5,30.7,54.0
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Thực phẩm đồ uống,HOSE,15.95,9006.0,4.07,0.76,18.7,-14.93,-17.68,-35.78,False,False,20.41,0.78,28.75,28594931000.0,-37.55,1.59,87.8,80.5,25.6,43.0,56.3
DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Hóa chất/Phân bón,HOSE,33.95,23982.0,9.3,1.68,18.04,0.31,-18.94,-6.61,True,False,71.23,0.49,39.45,112325240000.0,-28.46,17.47,49.0,79.6,40.5,67.5,54.1
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất/Phân bón,HOSE,35.8,20014.0,4.47,0.9,20.18,-14.47,-16.46,-54.83,True,False,50.67,0.65,46.7,34244782240.0,-54.92,19.97,83.8,84.1,30.0,46.5,58.0
DGW,Công ty cổ phần Thế giới số,Bán lẻ,HOSE,45.1,10008.0,18.11,2.87,15.85,15.35,13.78,2.65,True,True,61.79,0.95,41.0,85876839250.0,-17.51,36.05,20.3,68.1,89.8,62.3,63.2
DHG,Công ty Cổ phần Dược Hậu Giang,Dược phẩm,HOSE,90.5,13035.0,13.88,2.86,20.61,0.85,0.64,-2.11,True,False,48.66,0.21,11.23,747915225.0,-7.09,5.88,28.5,85.0,69.6,4.4,47.1
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,BĐS dân dụng,HOSE,10.1,11469.0,12.47,0.68,5.48,-14.36,-16.36,-50.61,False,False,19.53,1.04,42.1,53978457445.0,-56.48,10.48,65.9,16.8,31.8,51.8,38.3
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí-CTCP,Hóa chất/Phân bón,HOSE,22.9,19514.0,14.49,1.37,9.46,6.34,-14.78,-9.08,True,False,59.0,0.53,36.31,84233024750.0,-28.06,11.42,39.1,37.2,54.7,61.4,44.3
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Khác,HOSE,10.6,16630.0,46.09,0.68,1.48,-14.86,-7.4,-47.46,False,False,14.29,1.0,42.01,127455257000.0,-48.36,6.32,45.4,6.2,40.7,71.9,36.4
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,HOSE,16.45,42191.0,26.97,1.18,4.37,-20.91,-22.59,-38.62,False,False,32.65,1.14,35.39,74634725500.0,-38.62,2.81,35.9,13.3,13.2,59.6,24.9
ELC,Công ty Cổ phần công nghệ - viễn thông ELCOM,Công nghệ,HOSE,13.0,1987.0,10.83,1.03,9.49,-15.18,-16.71,-39.15,False,False,33.29,0.56,32.57,3718273900.0,-48.0,0.0,60.0,38.1,27.5,16.7,34.2
