symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.3,123023.0,7.34,1.21,16.52,-2.33,19.27,-5.88,False,True,52.38,0.67,24.22,181723695750.0,-6.39,19.27,67.9,71.9,81.9,82.6,78.7
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,16.3,6683.0,4.35,1.23,28.3,-19.9,-28.98,-37.29,False,False,33.33,0.86,37.92,8678241580.0,-49.51,0.93,74.8,93.9,6.4,21.7,46.3
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.35,2354.0,59.44,0.4,0.67,-7.76,-2.55,-28.75,False,False,14.08,0.62,26.23,1277462150.0,-36.93,0.94,51.8,2.6,54.8,7.0,29.8
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.1,10939.0,110.69,2.28,2.06,11.17,11.49,11.01,True,True,62.0,0.38,17.92,71945647160.0,-1.83,22.88,12.3,7.0,89.7,60.0,45.8
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,42.4,58374.0,12.54,1.93,15.36,-19.85,-22.2,-36.38,False,False,47.28,0.86,37.51,46961550982.0,-46.08,21.14,40.6,64.9,13.0,50.4,36.9
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.2,293023.0,8.48,1.42,16.79,-4.92,-3.51,-9.06,False,False,55.86,0.9,33.11,130374386910.0,-28.86,11.46,55.6,74.6,60.3,71.3,61.4
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,141.1,12287.0,9.4,4.01,42.7,6.49,6.17,2.01,False,False,25.6,0.44,36.18,10077872650.0,-20.99,23.08,36.7,99.1,82.3,24.3,60.1
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,28.7,8858.0,17.72,1.27,7.19,-5.05,-10.31,-42.39,False,False,57.32,0.95,34.42,10307241550.0,-42.5,9.33,38.7,23.7,49.0,26.1,32.9
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,27.0,130941.0,25.96,2.24,8.61,-2.65,-24.36,60.07,True,True,63.2,0.81,54.11,261376351800.0,-27.86,102.26,19.8,34.2,34.3,90.4,43.3
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,63.0,53967.0,26.36,,,-6.67,-11.64,9.94,True,False,42.75,0.84,42.62,32177356300.0,-26.74,36.32,32.1,50.0,43.8,43.5,39.0
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,41.95,9666.0,9.3,1.54,16.59,-2.56,1.35,-6.64,False,False,20.0,0.25,20.13,2925785690.0,-12.13,5.03,52.5,72.8,68.0,14.8,52.2
