symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.05,123023.0,7.25,1.2,16.52,-3.08,9.13,-3.61,False,True,51.72,0.66,24.09,162427564750.0,-7.16,17.93,64.5,72.6,83.5,81.6,78.2
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,15.3,6683.0,4.08,1.15,28.3,-26.27,-36.25,-43.76,False,False,27.42,0.89,37.95,7723998000.0,-52.61,0.0,76.8,93.8,7.7,20.2,47.0
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.09,2354.0,56.56,0.38,0.67,-12.84,-12.84,-31.72,False,False,7.45,0.63,26.18,1273232850.0,-39.99,0.0,51.8,2.7,47.9,7.0,27.8
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,31.85,10939.0,109.83,2.26,2.06,9.05,8.58,11.92,True,True,42.22,0.37,17.85,67547409250.0,-2.6,21.92,12.4,7.1,91.4,57.0,45.9
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,39.0,58374.0,11.54,1.77,15.36,-27.1,-27.37,-41.57,False,False,43.33,0.89,37.83,40012480500.0,-50.41,11.43,40.5,65.5,14.6,49.1,37.3
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,35.75,293023.0,8.37,1.41,16.79,-7.12,-4.95,-3.89,False,False,48.72,0.89,32.84,119287608420.0,-29.75,10.07,54.3,75.2,68.4,71.1,63.6
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,138.2,12287.0,9.21,3.93,42.7,0.22,5.49,0.98,False,False,31.25,0.46,35.76,10302988500.0,-22.61,20.55,35.7,99.1,81.9,25.4,59.9
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,26.5,8858.0,16.36,1.18,7.19,-16.27,-17.07,-41.82,False,False,39.66,0.93,33.78,9332547500.0,-42.28,0.95,42.4,23.9,38.2,24.6,30.5
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,28.5,130941.0,27.4,2.36,8.61,8.77,-18.12,80.07,True,True,63.39,0.77,53.67,278656674750.0,-23.85,113.5,18.2,34.5,61.1,91.2,51.1
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,68.0,53967.0,28.45,,,4.29,-6.46,22.01,True,True,54.86,0.8,42.72,32413072500.0,-20.93,47.14,31.7,50.0,75.3,43.9,54.3
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,41.85,9666.0,9.28,1.54,16.59,-3.46,0.16,-5.77,False,False,36.21,0.25,20.14,1224010750.0,-12.34,4.78,49.8,73.5,74.7,6.1,52.1
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,11.6,9816.0,37.42,1.06,2.83,-24.18,-20.02,-49.56,False,False,50.0,1.4,54.96,83096589090.0,-61.89,7.41,35.2,8.8,27.7,62.3,28.5
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,12.95,12835.0,61.67,0.83,1.34,-26.0,-22.22,-40.67,False,False,34.21,1.12,50.09,142985934250.0,-57.33,2.37,40.1,4.4,22.8,74.6,29.5
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,22.5,6742.0,14.71,1.55,10.54,-18.18,-23.47,-38.05,False,False,38.14,0.59,27.38,3157080250.0,-42.04,0.0,36.0,43.4,26.3,14.9,28.1
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,58.0,9214.0,9.4,0.66,7.07,-19.78,-24.26,-13.85,False,False,28.92,0.91,38.97,14984404500.0,-37.49,5.26,73.9,22.1,23.9,31.6,35.9
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,29.85,272231.0,6.71,1.3,19.37,-10.06,-10.85,-10.9,False,False,30.38,0.94,27.65,216626604750.0,-26.96,3.83,62.8,82.3,56.3,86.8,66.9
