symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,21.4,123023.0,7.04,1.16,16.52,-5.31,5.24,-1.24,False,True,38.67,0.66,24.61,164408443750.0,-9.89,14.46,68.6,72.1,72.5,82.1,76.0
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,15.95,6683.0,4.25,1.2,28.3,-27.33,-29.89,-37.0,False,False,37.93,0.88,37.94,6197309750.0,-50.6,4.25,72.7,93.7,8.2,19.6,45.9
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.11,2354.0,56.78,0.38,0.67,-13.1,-8.09,-34.41,False,False,28.05,0.62,25.53,982933650.0,-39.75,0.39,51.6,2.7,50.5,3.6,27.9
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,31.85,10939.0,109.83,2.26,2.06,7.78,10.47,12.75,True,True,38.71,0.37,17.88,53621189750.0,-2.6,21.92,13.1,7.2,86.6,52.7,43.9
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,40.2,58374.0,11.89,1.83,15.36,-23.14,-23.86,-39.59,False,False,35.71,0.88,37.86,24728503500.0,-48.88,14.86,39.9,64.9,20.4,39.3,36.9
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,35.75,293023.0,8.37,1.41,16.79,-7.34,-0.67,-4.71,False,False,47.66,0.88,32.82,132971609750.0,-29.75,10.07,54.4,74.8,66.4,75.0,63.6
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,145.0,12287.0,9.66,4.13,42.7,-5.23,22.54,5.11,False,False,56.15,0.47,36.35,10384661500.0,-18.81,26.48,32.7,99.1,80.7,26.8,59.0
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,26.6,8858.0,16.42,1.18,7.19,-22.34,-13.43,-37.08,False,False,29.29,0.92,33.8,8135037000.0,-38.4,1.33,42.9,23.4,33.8,23.2,29.0
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,30.4,130941.0,29.23,2.52,8.61,26.78,12.82,85.26,True,True,73.56,0.77,53.96,368414618000.0,-18.77,127.73,16.3,34.2,93.8,92.0,60.5
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,68.8,53967.0,28.79,,,8.52,-15.58,24.1,True,True,64.42,0.79,42.84,44814914000.0,-20.0,48.87,31.8,50.0,62.1,50.9,51.7
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,40.25,9666.0,8.92,1.48,16.59,-7.98,-4.12,-12.64,False,False,34.07,0.26,20.37,1068676000.0,-15.69,0.77,52.1,73.0,59.8,5.4,48.0
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,11.2,9816.0,36.13,1.02,2.83,-23.81,-27.55,-53.61,False,False,22.58,1.39,54.94,62055232090.0,-63.21,3.7,36.5,9.0,13.0,55.4,23.3
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,12.6,12835.0,60.0,0.81,1.34,-26.1,-30.77,-46.61,False,False,10.64,1.1,49.3,103231968500.0,-58.48,0.0,40.3,4.5,7.9,66.1,23.6
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,22.45,6742.0,14.67,1.55,10.54,-17.31,-22.32,-37.48,False,False,37.93,0.59,27.1,2959058250.0,-41.06,0.0,36.7,43.2,27.5,12.5,28.1
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,58.2,9214.0,9.43,0.67,7.07,-18.72,-28.53,-19.15,False,False,27.69,0.89,38.38,12403844000.0,-37.27,5.63,72.8,21.6,16.2,27.7,32.4
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,30.15,272231.0,6.78,1.31,19.37,-8.88,-9.42,-9.46,False,False,43.81,0.94,27.94,235660509250.0,-26.23,4.87,63.0,82.0,54.1,86.6,66.1
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng,HOSE,72.7,9917.0,13.87,4.02,29.0,-1.92,-2.5,-4.91,False,False,42.7,0.57,31.0,14884066000.0,-23.26,9.49,23.2,94.6,68.9,30.4,52.3
