symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.4,123023.0,7.37,1.22,16.52,-1.89,12.06,-4.24,False,True,63.16,0.67,24.2,169947649250.0,-5.68,19.81,66.1,72.6,82.5,82.5,78.5
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,16.2,6683.0,4.32,1.22,28.3,-21.36,-32.22,-38.82,False,False,36.17,0.85,37.81,8371337330.0,-49.82,0.31,74.5,93.8,9.1,21.1,46.9
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.32,2354.0,59.11,0.4,0.67,-8.28,-6.83,-30.75,False,False,12.99,0.62,26.2,1251897850.0,-37.28,0.57,51.3,2.7,56.8,6.1,30.2
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.2,10939.0,111.03,2.29,2.06,11.52,11.36,11.52,True,True,59.57,0.38,17.91,70735594660.0,-1.53,23.26,12.4,7.1,92.1,59.6,46.5
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,40.7,58374.0,12.04,1.85,15.36,-23.5,-27.71,-38.84,False,False,42.08,0.87,37.59,45445984982.0,-48.25,16.29,40.1,65.5,11.6,50.0,36.4
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.35,293023.0,8.51,1.43,16.79,-5.1,-5.79,-5.31,True,False,55.07,0.9,33.08,117802156100.0,-28.57,11.92,54.7,75.2,67.0,71.1,63.3
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,142.0,12287.0,9.46,4.04,42.7,5.03,3.53,4.1,False,False,34.35,0.45,35.78,10199915650.0,-20.49,23.86,36.1,99.1,84.6,25.4,60.9
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,28.0,8858.0,17.28,1.24,7.19,-8.06,-15.38,-40.66,False,False,53.41,0.96,34.45,9687074050.0,-40.66,6.67,39.9,23.9,43.2,24.6,31.3
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,27.1,130941.0,26.06,2.24,8.61,-2.29,-24.19,62.43,True,True,49.0,0.81,54.0,252286146140.0,-27.59,103.01,19.5,34.5,40.5,89.5,45.0
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,63.0,53967.0,26.36,,,-6.67,-15.44,9.76,True,False,28.16,0.84,42.48,27612953300.0,-26.74,36.32,32.1,50.0,46.0,41.2,39.2
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,41.75,9666.0,9.26,1.54,16.59,-3.03,-0.77,-7.19,False,False,28.81,0.25,20.15,1583638190.0,-12.55,4.53,52.1,73.5,72.8,8.8,52.6
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,12.6,9816.0,40.65,1.15,2.83,-16.56,-11.97,-48.82,False,False,58.97,1.4,55.22,80119549795.0,-58.61,16.67,35.0,8.8,40.7,63.2,32.5
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,14.05,12835.0,66.9,0.9,1.34,-18.31,-11.08,-38.13,False,False,45.16,1.13,50.25,134356385200.0,-53.71,11.07,39.2,4.4,41.5,72.8,34.6
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,23.75,6742.0,15.52,1.64,10.54,-12.68,-21.36,-36.13,False,False,46.34,0.59,27.34,3247139400.0,-38.82,2.81,35.1,43.4,28.2,16.7,28.7
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,59.0,9214.0,9.56,0.68,7.07,-17.6,-22.56,-15.08,False,False,34.18,0.92,39.08,15314280440.0,-36.41,7.08,75.5,22.1,21.9,32.5,35.9
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,30.55,272231.0,6.87,1.33,19.37,-6.98,-11.62,-10.08,False,False,38.1,0.93,27.66,207947603500.0,-25.25,6.26,62.3,82.3,54.2,86.8,66.1
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng,HOSE,73.6,9917.0,14.05,4.07,29.0,-5.19,1.21,-5.32,False,False,28.4,0.62,31.33,19358248575.0,-22.31,10.84,25.0,94.7,73.5,34.2,54.9
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Thực phẩm đồ uống,HOSE,16.5,9006.0,4.21,0.79,18.7,-10.81,-22.42,-32.48,False,False,56.52,0.78,29.53,26919998545.0,-36.28,5.1,87.6,80.5,29.5,39.5,56.8
DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Hóa chất/Phân bón,HOSE,32.5,23982.0,8.9,1.61,18.04,-9.17,-28.6,-12.97,True,False,64.29,0.52,39.56,91986175275.0,-31.52,12.46,53.0,79.6,23.3,67.5,50.1
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất/Phân bón,HOSE,47.0,20014.0,5.88,1.19,20.18,4.1,-39.51,-49.89,True,False,69.85,0.66,46.42,32070685000.0,-50.94,30.56,73.2,84.1,35.3,43.9,56.1
DGW,Công ty cổ phần Thế giới số,Bán lẻ,HOSE,44.75,10008.0,17.97,2.85,15.85,14.3,1.29,6.35,True,True,64.71,0.98,41.19,77509990725.0,-18.15,34.99,20.5,68.1,88.1,61.4,62.6
DHG,Công ty Cổ phần Dược Hậu Giang,Dược phẩm,HOSE,95.8,13035.0,14.69,3.03,20.61,2.79,-0.55,-1.71,True,False,68.25,0.21,11.26,666303335.0,-6.8,6.21,25.8,85.0,79.1,3.5,49.0
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,BĐS dân dụng,HOSE,10.25,11469.0,12.65,0.69,5.48,-14.45,-18.61,-53.33,False,False,55.93,1.06,42.75,66821078030.0,-55.83,12.12,67.9,16.8,29.3,56.1,38.9
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí-CTCP,Hóa chất/Phân bón,HOSE,22.6,19514.0,14.3,1.35,9.46,-1.08,-24.09,-11.58,True,False,60.0,0.52,36.26,64787112665.0,-29.01,9.96,41.1,37.2,42.5,55.3,40.1
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Khác,HOSE,11.25,16630.0,48.91,0.72,1.48,-13.13,-7.4,-42.49,False,False,54.35,0.99,42.46,129592433505.0,-47.0,12.84,45.4,6.2,48.1,71.9,38.6
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,HOSE,16.85,42191.0,27.62,1.21,4.37,-18.0,-24.94,-41.39,False,False,45.16,1.17,35.88,74663814955.0,-41.39,2.12,34.4,13.3,18.4,60.5,26.2
