symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,21.8,123023.0,7.17,1.18,16.52,-3.11,9.53,-0.97,False,True,44.12,0.66,24.66,164254199750.0,-8.21,16.6,66.2,72.3,75.9,82.3,76.5
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,16.25,6683.0,4.33,1.23,28.3,-25.12,-26.47,-39.29,False,False,35.48,0.89,37.96,6988526500.0,-49.67,6.21,72.3,93.8,8.7,22.1,46.3
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.21,2354.0,57.89,0.39,0.67,-10.33,-3.52,-31.37,False,False,25.56,0.62,25.51,1079742200.0,-38.58,2.36,51.4,2.7,52.7,6.2,29.0
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,31.6,10939.0,108.97,2.25,2.06,5.16,10.88,11.7,True,True,23.53,0.37,17.87,58133451250.0,-3.36,20.96,13.0,7.1,83.5,54.0,43.1
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,40.55,58374.0,12.0,1.84,15.36,-23.2,-21.26,-40.39,False,False,36.57,0.89,37.81,25618940000.0,-48.44,15.86,39.5,65.2,17.3,40.7,36.2
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.35,293023.0,8.51,1.43,16.79,-6.68,0.48,-2.64,True,False,49.06,0.89,32.88,136861598250.0,-28.57,11.92,53.9,75.0,64.1,75.2,62.8
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,145.3,12287.0,9.68,4.13,42.7,-1.89,23.09,7.46,False,False,52.85,0.48,36.36,10200379500.0,-18.64,26.74,32.4,99.1,84.8,26.5,60.1
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,26.5,8858.0,16.36,1.18,7.19,-23.41,-10.86,-38.83,False,False,25.23,0.93,33.81,8597358250.0,-38.95,0.95,42.3,24.1,30.3,23.9,28.0
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,31.3,130941.0,30.1,2.59,8.61,23.89,19.9,90.4,True,True,78.95,0.76,53.89,358757742000.0,-16.37,134.47,15.0,34.8,95.9,92.0,60.9
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,69.3,53967.0,29.0,,,7.78,-13.7,20.32,True,True,64.13,0.79,42.89,45399417500.0,-19.42,49.95,31.3,50.0,58.2,48.7,50.0
