symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,21.4,123023.0,7.04,1.16,16.52,-4.46,4.36,-2.02,False,True,39.47,0.66,24.62,166537894750.0,-9.89,14.46,68.0,72.3,73.6,82.3,76.3
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,16.2,6683.0,4.32,1.22,28.3,-27.84,-29.87,-39.15,False,False,37.29,0.88,37.92,6801851500.0,-49.82,5.88,71.9,93.8,7.6,22.1,45.9
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.11,2354.0,56.78,0.38,0.67,-13.24,-7.93,-33.56,False,False,23.96,0.62,25.57,1003816500.0,-39.75,0.39,51.6,2.7,50.4,6.2,28.3
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,31.65,10939.0,109.14,2.25,2.06,6.03,10.25,12.04,True,True,23.53,0.37,17.87,56296652500.0,-3.21,21.15,13.0,7.1,86.0,53.1,43.7
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,40.95,58374.0,12.12,1.86,15.36,-22.15,-22.59,-39.54,True,False,40.43,0.88,37.82,25396139250.0,-47.93,17.0,39.5,65.2,20.5,39.8,37.0
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,35.9,293023.0,8.41,1.41,16.79,-7.4,-1.77,-1.43,True,False,44.74,0.88,32.9,135058933250.0,-29.45,10.53,54.1,75.0,65.1,75.2,63.2
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,146.0,12287.0,9.73,4.15,42.7,-3.31,20.4,7.54,False,True,56.15,0.47,36.34,10523649000.0,-18.25,27.35,32.4,99.1,83.4,27.4,65.8
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,26.55,8858.0,16.39,1.18,7.19,-23.49,-13.72,-38.84,False,False,25.23,0.92,33.8,8414722500.0,-38.84,1.14,41.4,24.1,31.7,24.8,28.4
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,30.0,130941.0,28.85,2.48,8.61,23.33,10.33,88.45,True,True,68.57,0.77,54.06,362220809000.0,-19.84,124.74,16.1,34.8,91.9,92.0,60.0
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,69.2,53967.0,28.95,,,8.81,-19.44,21.81,True,True,61.05,0.79,42.86,44999790000.0,-19.53,49.73,30.9,50.0,57.2,48.7,49.6
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,40.85,9666.0,9.06,1.5,16.59,-6.18,-2.91,-11.43,False,False,36.9,0.26,20.32,986845750.0,-14.43,2.27,52.1,73.2,65.3,5.3,49.7
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,11.5,9816.0,37.1,1.05,2.83,-21.77,-26.51,-50.81,False,False,22.58,1.39,55.01,65377468875.0,-62.22,6.48,35.8,8.9,15.4,56.6,24.0
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,12.65,12835.0,60.24,0.81,1.34,-26.02,-28.93,-46.06,False,False,18.0,1.1,49.36,108547931500.0,-58.32,0.0,40.0,4.5,8.8,66.4,23.9
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,22.65,6742.0,14.8,1.56,10.54,-16.27,-21.35,-38.86,False,False,37.08,0.59,27.14,2931855750.0,-40.54,0.67,36.3,43.8,30.3,13.3,29.1
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,58.5,9214.0,9.48,0.67,7.07,-18.3,-26.96,-20.22,False,False,25.71,0.89,38.37,13067828000.0,-36.95,6.17,73.0,22.3,16.6,28.3,32.9
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,30.15,272231.0,6.78,1.31,19.37,-8.61,-10.09,-12.82,False,False,39.32,0.94,27.94,238288086250.0,-26.23,4.87,63.1,82.1,51.0,86.7,65.3
