symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
TCH,Công ty cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,BĐS dân dụng,HOSE,11.95,15551.0,13.9,0.6,4.29,-11.19,-5.77,-37.26,True,False,61.1,1.24,46.43,68052987650.0,-46.61,19.5,68.6,12.3,55.5,56.5,46.0
TNH,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,Khác,HOSE,8.16,1707.0,,0.79,-5.44,-13.74,-28.11,-42.08,False,False,27.45,0.38,22.41,677988795.0,-42.96,3.82,65.4,1.8,17.0,3.5,21.5
TPB,Ngân hàng Thương mại cổ phần Tiên Phong,Ngân hàng,HOSE,14.55,45494.0,5.45,0.95,17.51,-10.19,-14.66,-26.55,False,False,45.71,0.94,28.77,98355214295.0,-28.94,4.68,82.4,77.2,45.4,67.8,64.4
TV2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Khác,HOSE,26.5,2448.0,18.93,1.41,7.43,-7.67,-32.05,-23.87,False,False,47.22,0.63,33.71,2806847890.0,-38.44,12.05,32.1,27.2,25.7,13.9,22.7
VCB,Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam,Ngân hàng,HOSE,58.8,500505.0,13.97,2.19,15.67,-3.9,-5.13,-13.45,False,False,43.48,0.74,27.84,250953209770.0,-21.98,8.89,34.4,66.7,70.1,89.6,59.8
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Xây dựng,HOSE,15.75,14449.0,2.78,0.91,32.59,-9.1,-10.02,-30.62,False,False,38.89,0.82,35.87,32745540350.0,-38.02,4.3,88.2,97.4,54.8,44.3,69.5
VCI,Công ty Cổ phần Chứng khoán VIETCAP,Chứng khoán,HOSE,22.3,31445.0,12.05,0.74,6.12,-7.66,-25.13,-33.48,False,False,52.75,1.07,38.45,201840454270.0,-36.23,20.87,70.9,20.2,31.8,83.5,46.3
VCS,Công ty cổ phần VICOSTONE,VLXD,HNX,31.4,6416.0,7.24,0.98,13.53,-12.85,-23.16,-29.55,False,False,7.41,0.46,20.88,1200096455.0,-34.5,0.0,76.7,57.0,26.3,6.1,41.2
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,Chứng khoán,HOSE,11.9,4080.0,13.08,1.02,7.78,-12.82,-34.44,-51.72,False,False,43.9,1.09,40.38,8743214640.0,-52.87,6.25,59.0,30.7,13.9,22.6,29.1
VGC,Tổng Công ty Viglacera - CTCP,Khác,HOSE,39.4,20803.0,12.59,2.04,16.24,0.92,-11.45,-29.89,True,False,36.0,0.95,37.48,15376434900.0,-29.89,12.89,39.7,71.1,65.6,31.3,50.5
VHC,Công ty Cổ phần Vĩnh Hoàn,Thực phẩm đồ uống,HOSE,52.3,13737.0,8.28,1.22,14.76,-9.04,-13.84,-5.88,False,False,41.67,0.59,30.83,21383591840.0,-24.42,1.75,65.2,61.8,48.7,35.7,51.1
VHM,Công ty cổ phần Vinhomes,BĐS dân dụng,HOSE,75.2,581610.0,7.37,1.3,17.6,2.75,64.4,49.31,True,True,54.86,1.78,54.76,526265756195.0,-4.77,79.72,63.1,78.1,92.7,96.5,84.6
VIB,Ngân hàng Thương mại cổ phần Quốc tế Việt Nam,Ngân hàng,HOSE,14.85,59230.0,6.94,1.08,15.51,-8.05,-7.04,-29.29,False,False,51.35,0.87,25.35,69450245480.0,-31.75,4.95,75.8,65.8,59.8,57.4,62.3
