symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.2,123023.0,7.3,1.21,16.52,-1.47,9.41,-6.48,False,True,42.47,0.67,24.24,195890582500.0,-7.31,18.74,69.9,71.9,83.0,82.6,79.6
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,16.95,6683.0,4.52,1.28,28.3,-19.29,-33.66,-37.47,False,False,30.36,0.86,38.23,8986500830.0,-47.5,4.95,72.8,93.9,8.6,21.7,46.4
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.61,2354.0,62.33,0.42,0.67,-4.43,-6.81,-25.66,False,False,18.52,0.62,26.09,1268478950.0,-33.86,5.85,50.9,2.6,65.7,7.8,33.0
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.55,10939.0,112.24,2.31,2.06,13.06,5.29,13.22,True,True,75.0,0.37,17.91,73075365160.0,-0.46,24.6,12.3,7.0,91.3,58.3,46.0
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,42.3,58374.0,12.51,1.92,15.36,-21.81,-28.31,-36.72,False,False,44.62,0.87,37.53,46668210982.0,-46.21,20.86,40.6,64.9,11.3,50.4,36.4
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.5,293023.0,8.55,1.44,16.79,-6.07,-11.15,-6.15,False,False,46.73,0.9,33.1,133329031860.0,-28.27,12.38,55.8,74.6,57.2,73.0,60.8
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,143.0,12287.0,9.53,4.07,42.7,7.04,-0.54,9.74,False,False,29.93,0.45,36.2,10843231650.0,-19.93,24.74,36.3,99.1,82.1,26.1,60.3
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,29.3,8858.0,18.09,1.3,7.19,-5.76,-17.68,-38.73,False,False,53.49,0.95,34.71,10194112550.0,-41.4,11.62,37.2,23.7,50.4,25.2,32.8
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,26.75,130941.0,25.72,2.21,8.61,-5.08,-24.01,60.92,True,True,52.0,0.81,54.14,259672401230.0,-28.53,100.39,19.8,34.2,38.8,90.4,44.7
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,65.4,53967.0,27.36,,,-6.17,-13.95,10.17,True,False,44.7,0.84,42.64,32271096300.0,-23.95,41.51,32.1,50.0,51.7,43.5,41.3
